,DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,SECTOR,GFS_GRP,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
38,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1223_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Other social contributions: imputed contributions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G115_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on international trade and transactions, Transactions",Percent of GDP,Annual,Units,0.1900661008473999,0.2044330909679498,0.2061222041411472,0.2101100814985183,0.2121923827778369,0.2083793386171085,0.1995969135703992,0.1963736672768342,0.2579523903463918,0.3609646715003151,0.321373973412631,0.3762545566256742,0.3934828833886392,0.294482557725312,
40,IMF.STA:GFS_SOO(12.0.0),RUS.S1311B.G1.G1112_T.POGDP_PT.A,OBS_VALUE,Russian Federation,Budgetary central government,Revenue,"Taxes on income, profits, and capital gains, payable by corporations a",Percent of GDP,Annual,Units,0.5548431071778318,0.5183484626152234,0.5710430235178982,0.4740654611236796,0.5137918417956387,0.598739228373678,0.5889173814583718,0.8045248533167751,0.9412733098186548,1.033864167191855,0.9722516917927918,1.035690480095607,1.192803239556834,1.251735770723096,
41,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G11451_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Motor vehicles taxes, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1146_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Other taxes on goods and services, Transactions",Percent of GDP,Annual,Units,0.0066011140293608,0.0066840921875225,0.0065270288145343,0.0061277170492293,0.0063970468178752,0.006413774255261,0.0062345452515035,0.0061411067657211,0.0060678163437461,0.0059442965927304,0.0060709581872354,0.0059008896306876,0.0054616274911658,0.0051239641098852,
45,IMF.STA:GFS_SOO(12.0.0),ZAF.S1311B.G1.G112_T.POGDP_PT.A,OBS_VALUE,South Africa,Budgetary central government,Revenue,"Taxes on payroll and workforce, Transactions",Percent of GDP,Annual,Units,0.283162146353612,0.305770648074404,0.319047952836556,0.322480936122106,0.339442434036314,0.344285688884325,0.321768750383807,0.315317121284134,0.325160748074747,0.328632890102711,0.220012332345302,0.311428300054149,0.315189423094191,,
46,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1156_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Other taxes on international trade and transactions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1155_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Exchange taxes, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,IMF.STA:GFS_SOO(12.0.0),RUS.S1311B.G1.G11_T.POGDP_PT.A,OBS_VALUE,Russian Federation,Budgetary central government,Revenue,"Taxes, Transactions",Percent of GDP,Annual,Units,12.17813103931002,13.95420344754627,13.75011104430099,12.93349227405516,13.25535124888207,10.64206596167567,9.183108631784654,10.28841082700622,11.46877301228343,10.93839913920392,10.79911558189692,11.60649447685289,10.97033942786146,12.37192613308924,
49,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1411_S13U_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Interest (before FISIM allocation), receivable, Other general governme",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G12_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Social contributions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
